category,code,name,desc1,s_a,s_b,s_c
d_1,0,Input_el_demand_Twh=,electricity demand,428.8124575,413.3156875,416.45973
d_1,1,input_fuel_Households[1]=,coal boiler,13.98598596,8.7393,8.18792
d_1,1,input_fuel_Households[2]=,oil boiler,6.033858623,1.0924125,1.02349
d_1,1,input_fuel_Households[3]=,ngas boiler,170.2035058,174.786,163.7584
d_1,1,input_fuel_Households[4]=,biomass boiler,20.99554077,10.924125,10.2349
d_1,1, input_HH_ngasboiler_Solar=,solar thermal households,7.2636088,19.663425,18.42282
d_1,1,input_HH_EB_heat=,electric heating,4.195328447,12.7620625,11.25839
d_1,1,Input_Cooling_el_demand=,household cooling demand,6.992214078,13.92225,12.28188
d_2,2,input_fuel_CSHP[1]=,industry_coal,106.9802305,82.099,68.9875
d_2,2,input_fuel_CSHP[2]=,industry_oil,68.23018957,65.6792,55.19
d_2,2,input_fuel_CSHP[3]=,industry_ngas,153.1855799,164.198,137.975
d_2,2,input_fuel_CSHP[4]=,industry_biomass,0,16.4198,13.7975
d_2,2,input_fuel_Various[1]=,various_coal,114.182122,36.77125,34.79125
d_2,2,input_fuel_Various[2]=,various_oil,108.1269965,36.77125,34.79125
d_2,2,input_fuel_Various[3]=,various_ngas,106.0868815,58.834,55.666
d_2,2,input_fuel_Various[4]=,various_biomass,0,7.35425,6.95825
d_3,3,input_fuel_Transport[9]=,LPG,73.04902403,57.27879,42.7154
d_3,3,input_fuel_Transport[5]=,petrol_methanol,50.44655755,40.095153,29.90078
d_3,3,input_fuel_Transport[1]=,JP_fossil,15.07099706,11.455758,8.54308
d_3,3,input_fuel_Transport[3]=,ngas_gridgas,15.07099706,11.455758,8.54308
d_3,3,Input_BioDieselInput=,biodiesel,1.025525617,5.727879,4.27154
d_3,3,Input_BioPetrolInput=,biopetrol,0.707077922,5.727879,4.27154
d_3,3,input_transport_TWh=,elec_trans_dump,2.603989165,28.639395,21.3577
d_3,3,input_fuel_Transport[2]=,diesel_fossil,414.8137316,412.407288,307.55088
s_p,D,input_cap_pp_el=,PP1_cap,52737.08604,38033.60549,37928.73819
s_p,D,input_hydro_cap=,dammed_hydro_cap,44822.31727,38048.37817,45514.48583
s_p,D,input_hydro_eff=,dammed_hydro_eff,0.87,0.87,0.87
s_p,D,input_hydro_watersupply=,dammed_hydro_water_supply,90,100,100
s_p,D,input_RES3_capacity=,river_cap,15756.53534,13043.82139,15171.49528
s_p,D,input_GeoPower_cap=,geothermal_cap,3154.05995,5501.481711,3792.873819
s_p,D,input_RES1_capacity=,wind_cap,17268.85194,25847.84838,26550.11673
s_p,D,input_RES2_capacity=,pv_cap,13035.94842,26749.9,34135.86437
s_p,D,input_cap_chp3_el=,CHP3_cap,10557.65781,8418.273065,7111.63841
s_p,D,input_nuclear_cap=,nuclear_cap,5000,5000,7500
s_p,D,input_RES7_capacity=,CSP_solar_cap,0,0,0
s_p,D,input_cap_pp2_el=,pp2_cap,42868.90105,42418.65581,26550.11673
s_p,D,input_solar_ann_gr1=,heat_only_solar,0,0,0
s_p,D,input_fuel_PP[1]=,pp1_coal,5.100011764,3.497817,3.497817
s_p,D,input_fuel_PP[2]=,pp1_oil,1.332990462,1.3991268,1.3991268
s_p,D,input_fuel_PP[3]=,pp1_ngas,25.27648492,25.1842824,25.1842824
s_p,D,input_fuel_PP[4]=,pp1_biomass,3.268682849,4.8969438,4.8969438
s_p,D,input_fuel_PP2[1]=,pp2_coal,325.834823,278.0448,278.0448
s_p,D,input_fuel_PP2[2]=,pp2_oil,0.027664823,0,0
s_p,D,input_fuel_PP2[3]=,pp2_ngas,125.1723962,139.0224,139.0224
s_p,D,input_fuel_PP2[4]=,pp2_biomass,12.37311593,46.3408,46.3408
s_p,D,input_Waste2_Waste=,waste_input,0.2,1,1
s_p,D,input_cap_rock_el=,rock_el,2000,2000,4000
s_p,D,input_cap_rock_steam=,rock_steam,2000,2000,4000
s_p,D,input_rock_store_cap=,rock_storage,5000,5000,10000
s_p,D,Input_GasNetStorage=,,105500,150000,150000
s_p,D,input_keol_reg=,,870000000,870000000,870000000
s_p,D,filnavn_nuclear=,,GB_nuclear_dist_ALICE.txt,GB_nuclear_dist_ALICE.txt,GB_nuclear_dist_ALICE.txt
